Distance Travelled,Radial Distance,Deadend,Turned Head,Blocks,Radius,Timeout
5.049621685,4.781938478,FALSE,0,18,3,FALSE
3.973605859,3.805972094,TRUE,0,200,10,FALSE
8.814882324,7.607422051,TRUE,0,200,10,FALSE
5.042640599,4.592212861,TRUE,0,72,6,FALSE
1.965310279,1.923191619,TRUE,0,242,11,FALSE
9.591287513,9.094146634,FALSE,0,72,6,FALSE
2.874366366,2.834192465,TRUE,0,200,10,FALSE
12.06388186,11.91003876,FALSE,0,128,8,FALSE
9.023974819,8.988875537,FALSE,0,72,6,FALSE
3.570057273,3.216873424,TRUE,0,242,11,FALSE
1.976139613,1.916215033,TRUE,0,98,7,FALSE
6.40222591,6.290960615,FALSE,0,32,4,FALSE
10.62671506,10.40969372,FALSE,0,98,7,FALSE
10.69488224,10.4077585,FALSE,0,98,7,FALSE
4.884331833,4.79030068,FALSE,0,18,3,FALSE
8.384448525,7.684264064,FALSE,0,50,5,FALSE
1.971935398,1.930134277,TRUE,0,72,6,FALSE
2.036135766,1.978720164,TRUE,0,72,6,FALSE
3.741813786,3.488398659,TRUE,0,242,11,FALSE
5.333503218,5.1989057,TRUE,0,128,8,FALSE
8.714865265,7.248677108,TRUE,0,162,9,FALSE
4.850390118,4.850358596,FALSE,0,18,3,FALSE
12.46525583,9.122399158,FALSE,0,72,6,FALSE
7.929065304,7.604381629,FALSE,0,50,5,FALSE
3.570131405,2.915208801,TRUE,0,200,10,FALSE
10.4996921,10.43315212,FALSE,0,98,7,FALSE
2.735093139,2.677337298,TRUE,0,200,10,FALSE
5.049621685,4.781938478,FALSE,0,18,3,FALSE
5.564197599,4.81736751,FALSE,0,18,3,FALSE
6.608565973,6.440054459,TRUE,0,162,9,FALSE
1.976139613,1.916215033,TRUE,0,50,5,FALSE
6.34585017,6.262860512,FALSE,0,32,4,FALSE
15.98883537,13.35307254,FALSE,0,162,9,FALSE
6.553561382,6.163782754,FALSE,0,32,4,FALSE
4.930140094,4.892265303,FALSE,0,18,3,FALSE
4.939548891,4.802964509,FALSE,0,18,3,FALSE
7.483950633,6.251050092,FALSE,0,32,4,FALSE
2.569206642,2.333435634,TRUE,0,50,5,FALSE
3.098228475,3.034101149,TRUE,0,162,9,FALSE
4.46733268,3.816973995,TRUE,0,72,6,FALSE
7.800999871,7.696205938,FALSE,0,50,5,FALSE
9.532346699,9.059959748,FALSE,0,72,6,FALSE
5.913390368,5.188110885,TRUE,0,72,6,FALSE
5.049621685,4.781938478,FALSE,0,18,3,FALSE
6.759962003,6.272356179,FALSE,0,32,4,FALSE
7.799482857,7.694704312,FALSE,0,50,5,FALSE
14.62202545,11.90883996,FALSE,0,128,8,FALSE
4.241733899,4.147523893,TRUE,0,242,11,FALSE
