Distance Travelled,Radial Distance,Deadend,Turned Head,Blocks,Radius,Timeout,Collided
1.630599233,1.630060921,TRUE,0,32,4,FALSE,FALSE
8.172276808,7.711569056,FALSE,0,50,5,FALSE,FALSE
2.662340225,2.492916891,TRUE,0,200,10,FALSE,FALSE
2.036135766,1.978720164,TRUE,0,50,5,FALSE,FALSE
6.929327215,6.08849315,TRUE,0,128,8,FALSE,FALSE
3.399196331,3.191423627,TRUE,0,98,7,FALSE,FALSE
6.267453605,6.162417154,FALSE,0,32,4,FALSE,FALSE
2.819547286,2.474663675,TRUE,0,32,4,FALSE,FALSE
5.096456035,4.881447791,FALSE,0,18,3,FALSE,FALSE
1.911669229,1.670222098,TRUE,0,98,7,FALSE,FALSE
7.918043491,7.703969058,FALSE,0,50,5,FALSE,FALSE
2.662499779,2.500787266,TRUE,0,200,10,FALSE,FALSE
2.878244877,2.80840703,TRUE,0,50,5,FALSE,FALSE
10.15121465,9.084078732,FALSE,0,72,6,FALSE,FALSE
8.48006282,7.652952758,FALSE,0,50,5,FALSE,FALSE
2.768417099,2.4115252,TRUE,0,200,10,FALSE,FALSE
2.543288473,2.384759222,TRUE,0,72,6,FALSE,FALSE
2.036135766,1.978720164,TRUE,0,200,10,FALSE,FALSE
9.461572105,9.375764767,FALSE,0,242,11,FALSE,TRUE
4.330316218,4.082476038,TRUE,0,200,10,FALSE,FALSE
4.897330554,4.789843973,FALSE,0,18,3,FALSE,FALSE
12.27454654,9.112285421,FALSE,0,72,6,FALSE,FALSE
1.630599233,1.630060921,TRUE,0,162,9,FALSE,FALSE
4.825047974,4.787066303,FALSE,0,18,3,FALSE,FALSE
2.681122236,2.51861227,TRUE,0,98,7,FALSE,FALSE
12.76496254,11.94444732,FALSE,0,128,8,FALSE,FALSE
5.003847249,4.841124211,FALSE,0,18,3,FALSE,FALSE
2.878244877,2.80840703,TRUE,0,128,8,FALSE,FALSE
4.835378876,4.753527455,TRUE,0,98,7,FALSE,FALSE
3.846714433,3.533362549,FALSE,0,128,8,FALSE,TRUE
3.309197468,3.068568315,TRUE,0,50,5,FALSE,FALSE
1.630599233,1.630060921,TRUE,0,200,10,FALSE,FALSE
5.841122571,5.615559721,FALSE,0,72,6,FALSE,TRUE
1.630599233,1.630060921,TRUE,0,32,4,FALSE,FALSE
4.432547173,3.808113603,TRUE,0,98,7,FALSE,FALSE
10.10961844,9.1138696,FALSE,0,72,6,FALSE,FALSE
1.630599233,1.630060921,TRUE,0,72,6,FALSE,FALSE
4.850390118,4.850358596,FALSE,0,18,3,FALSE,FALSE
5.316824602,4.874278038,FALSE,0,18,3,FALSE,FALSE
3.82566961,3.526366472,FALSE,0,72,6,FALSE,TRUE
11.73321784,10.40106541,FALSE,0,98,7,FALSE,FALSE
14.23824292,8.304331756,FALSE,0,162,9,FALSE,TRUE
8.03464058,7.839121764,FALSE,0,242,11,FALSE,TRUE
3.142133025,3.007034766,TRUE,0,72,6,FALSE,FALSE
6.388960723,6.215359039,FALSE,0,32,4,FALSE,FALSE
5.003847249,4.841124211,FALSE,0,18,3,FALSE,FALSE
4.441894598,4.234202213,FALSE,0,50,5,FALSE,TRUE
4.473433367,4.258601044,FALSE,0,162,9,FALSE,TRUE
3.337810398,3.171031518,TRUE,0,128,8,FALSE,FALSE
5.785031771,5.641399031,FALSE,0,98,7,FALSE,TRUE
7.998212781,7.716493002,FALSE,0,50,5,FALSE,FALSE
4.022640178,3.955241026,TRUE,0,162,9,FALSE,FALSE
12.00546925,11.95576858,FALSE,0,128,8,FALSE,FALSE
4.782392436,4.747202762,FALSE,0,18,3,FALSE,FALSE
6.809607823,6.502419416,FALSE,0,128,8,FALSE,TRUE
10.90235752,8.63283084,FALSE,0,242,11,FALSE,TRUE
7.200169245,3.948434839,FALSE,0,128,8,FALSE,TRUE
1.630599233,1.630060921,TRUE,0,162,9,FALSE,FALSE
4.701086159,4.54719694,TRUE,0,200,10,FALSE,FALSE
3.685506371,3.221043238,TRUE,0,162,9,FALSE,FALSE
9.125033623,9.027545847,FALSE,0,72,6,FALSE,FALSE
1.911669229,1.670222098,TRUE,0,128,8,FALSE,FALSE
1.965310279,1.923191619,TRUE,0,242,11,FALSE,FALSE
3.808843465,3.731622507,FALSE,0,242,11,FALSE,TRUE
4.930140094,4.892265303,FALSE,0,18,3,FALSE,FALSE
1.630599233,1.630060921,TRUE,0,200,10,FALSE,FALSE
6.735778103,6.026838581,TRUE,0,200,10,FALSE,FALSE
1.630599233,1.630060921,TRUE,0,200,10,FALSE,FALSE
16.12586674,14.71005376,FALSE,0,200,10,FALSE,FALSE
7.175797964,6.26438377,FALSE,0,32,4,FALSE,FALSE
3.823370095,3.43840892,FALSE,0,98,7,FALSE,TRUE
8.114241665,7.289654695,FALSE,0,162,9,FALSE,TRUE
15.46848621,13.37305292,FALSE,0,162,9,FALSE,FALSE
3.399196331,3.191423627,TRUE,0,162,9,FALSE,FALSE
5.096456035,4.881447791,FALSE,0,18,3,FALSE,FALSE
