Distance Travelled,Radial Distance,Deadend,Turned Head,Blocks,Radius,Timeout
4.850390118,4.850358596,FALSE,0,18,3,FALSE
7.328699689,4.64944445,FALSE,227,128,8,TRUE
4.508812831,4.248209854,TRUE,9,162,9,FALSE
7.918043491,7.703969058,FALSE,0,50,5,FALSE
23.2449062,11.81654785,FALSE,6,128,8,FALSE
2.771679239,2.557870073,TRUE,7,128,8,FALSE
8.26743144,7.688479754,FALSE,0,50,5,FALSE
11.38259106,10.45788086,FALSE,0,98,7,FALSE
16.58450557,3.561668954,TRUE,12,200,10,FALSE
10.76274977,10.53484948,FALSE,0,98,7,FALSE
4.159649694,3.542232698,TRUE,4,98,7,FALSE
4.225129465,3.583483081,TRUE,4,98,7,FALSE
6.272621503,6.020659759,TRUE,4,128,8,FALSE
4.885269097,4.79104516,FALSE,0,18,3,FALSE
9.136913368,9.00507978,FALSE,0,72,6,FALSE
11.34079598,10.47417933,FALSE,0,98,7,FALSE
8.563413918,6.249774378,FALSE,1,32,4,FALSE
10.80128281,10.46576463,FALSE,0,98,7,FALSE
4.183600592,3.549866069,TRUE,10,200,10,FALSE
7.3296517,6.988428029,TRUE,3,98,7,FALSE
4.273460756,3.469179588,FALSE,229,50,5,TRUE
6.670866285,6.178992946,FALSE,0,32,4,FALSE
5.30961516,4.834885006,FALSE,0,18,3,FALSE
8.357083907,7.608427131,FALSE,0,50,5,FALSE
14.27159414,13.36375402,FALSE,0,162,9,FALSE
4.255264575,4.009753226,TRUE,7,50,5,FALSE
4.304561333,3.818654008,TRUE,1,200,10,FALSE
5.078425996,4.835694847,TRUE,2,98,7,FALSE
13.36594045,5.108097106,TRUE,12,162,9,FALSE
4.939548891,4.802964509,FALSE,0,18,3,FALSE
7.800461719,7.670486578,FALSE,0,50,5,FALSE
14.3408081,13.33547668,FALSE,0,162,9,FALSE
3.104107513,2.915194285,TRUE,4,128,8,FALSE
14.74029728,14.67346776,FALSE,0,200,10,FALSE
4.902084283,4.473476676,TRUE,1,72,6,FALSE
4.372792037,3.993576735,TRUE,2,200,10,FALSE
9.168312207,9.089465452,FALSE,0,72,6,FALSE
4.758730035,4.430143835,TRUE,5,242,11,FALSE
7.349315009,7.017627429,TRUE,1,162,9,FALSE
12.99193884,5.137769273,TRUE,12,128,8,FALSE
13.58327382,6.484374088,TRUE,6,162,9,FALSE
18.60616537,14.69883317,FALSE,0,200,10,FALSE
7.710825883,6.694745959,TRUE,3,98,7,FALSE
7.568034034,5.250281587,TRUE,4,200,10,FALSE
4.333215887,4.12404697,TRUE,3,98,7,FALSE
6.416516932,6.259264797,FALSE,0,32,4,FALSE
3.987610852,3.915138996,TRUE,1,162,9,FALSE
12.05074566,8.808762415,TRUE,4,200,10,FALSE
12.05360542,11.93987438,FALSE,0,128,8,FALSE
5.079035739,3.743684113,TRUE,6,200,10,FALSE
2.78932043,2.585863924,TRUE,6,98,7,FALSE
4.8435156,4.610083677,TRUE,1,162,9,FALSE
5.512562857,5.342803157,TRUE,3,162,9,FALSE
9.117343231,6.125015709,TRUE,3,98,7,FALSE
11.80864373,10.48478287,FALSE,0,98,7,FALSE
8.511241407,7.639074161,FALSE,0,50,5,FALSE
15.11329478,4.440647962,TRUE,10,162,9,FALSE
2.78932043,2.585863924,TRUE,6,242,11,FALSE
7.703282601,7.590923634,FALSE,0,50,5,FALSE
7.674541299,7.610141816,FALSE,0,50,5,FALSE
2.78932043,2.585863924,TRUE,6,242,11,FALSE
10.03646746,9.072075542,FALSE,0,72,6,FALSE
10.093103,8.026495663,TRUE,4,200,10,FALSE
5.287072467,5.202092535,TRUE,4,98,7,FALSE
4.850390118,4.850358596,FALSE,0,18,3,FALSE
4.183600592,3.549866069,TRUE,10,50,5,FALSE
4.321515544,3.765180095,FALSE,234,98,7,TRUE
3.068534891,2.942144596,TRUE,5,50,5,FALSE
8.449739189,6.270417949,FALSE,1,32,4,FALSE
9.11580733,9.037622574,FALSE,0,72,6,FALSE
3.699194861,3.210160729,FALSE,241,162,9,TRUE
4.850390118,4.850358596,FALSE,0,18,3,FALSE
15.60741444,13.35023683,FALSE,0,162,9,FALSE
8.093693572,6.668807175,TRUE,5,162,9,FALSE
10.44812202,5.636364444,FALSE,213,72,6,TRUE
4.757782118,3.697694638,TRUE,5,128,8,FALSE
6.507364895,6.295195858,FALSE,0,32,4,FALSE
10.82994816,10.5453577,FALSE,0,98,7,FALSE
5.034721536,4.789335964,FALSE,0,18,3,FALSE
17.47637311,10.50750236,FALSE,6,98,7,FALSE
5.79660397,5.008854316,TRUE,2,200,10,FALSE
4.850390118,4.850358596,FALSE,0,18,3,FALSE
4.850390118,4.850358596,FALSE,0,18,3,FALSE
4.782392436,4.747202762,FALSE,0,18,3,FALSE
9.523241786,5.728991901,TRUE,8,128,8,FALSE
9.444621139,6.008756764,TRUE,4,242,11,FALSE
27.38320072,13.28442626,FALSE,12,162,9,FALSE
10.49694642,6.853774227,TRUE,2,242,11,FALSE
10.09075468,3.28908069,TRUE,11,98,7,FALSE
